term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
50|55,threshold,1.4535415287523183,0.21806294550010352,6.665697032656235,2.6341215317385576e-11,1.4535415287523183,0.21806294550010352,6.665697032656235,2.6341215317385576e-11,2.6341215317385576e-11,1.0261460092093948,1.8809370482952419,1.0261460092093948,1.8809370482952419
55|60,threshold,1.6925860103836359,0.22094013640319107,7.660835364448475,1.8472754089418723e-14,1.6925860103836359,0.22094013640319107,7.660835364448475,1.8472754089418723e-14,1.8472754089418723e-14,1.2595513002940146,2.125620720473257,1.2595513002940146,2.125620720473257
60|65,threshold,2.0879156034619863,0.22861077332812785,9.13305866152325,6.659075983928136e-20,2.0879156034619863,0.22861077332812785,9.13305866152325,6.659075983928136e-20,6.659075983928136e-20,1.639846721261006,2.5359844856629667,1.639846721261006,2.5359844856629667
65|70,threshold,2.363986654362473,0.23751795563828104,9.952875554228063,2.4499959664751834e-23,2.363986654362473,0.23751795563828104,9.952875554228063,2.4499959664751834e-23,2.4499959664751834e-23,1.8984600156298597,2.829513293095086,1.8984600156298597,2.829513293095086
70|75,threshold,2.808870808078284,0.25827845958012763,10.875358373456875,1.5106098574719822e-27,2.808870808078284,0.25827845958012763,10.875358373456875,1.5106098574719822e-27,1.5106098574719822e-27,2.30265432931875,3.315087286837818,2.30265432931875,3.315087286837818
75|80,threshold,3.1678247096546204,0.2843940027956484,11.138859042435096,8.115231623148142e-29,3.1678247096546204,0.2843940027956484,11.138859042435096,8.115231623148142e-29,8.115231623148142e-29,2.6104227067559664,3.7252267125532743,2.6104227067559664,3.7252267125532743
80|85,threshold,3.4321917333843,0.3152138405601603,10.888455047801898,1.308409988558432e-27,3.4321917333843,0.3152138405601603,10.888455047801898,1.308409988558432e-27,1.308409988558432e-27,2.814383958457835,4.049999508310765,2.814383958457835,4.049999508310765
85|90,threshold,3.9789100579971852,0.4306769794932716,9.238734010530848,2.494308469231052e-20,3.9789100579971852,0.4306769794932716,9.238734010530848,2.494308469231052e-20,2.494308469231052e-20,3.1347986892198776,4.823021426774493,3.1347986892198776,4.823021426774493
industry_roleMiddle Management,location,0.15508046994010782,0.21146747849026362,0.7333537575010525,0.4633426954027928,0.15508046994010782,0.21146747849026362,0.7333537575010525,0.4633426954027928,0.4633426954027928,-0.25938817180230733,0.569549111682523,-0.25938817180230733,0.569549111682523
industry_roleUpper Management,location,-0.0018910443935082162,0.2511600696720786,-0.00752923980303563,0.9939925925660683,-0.0018910443935082162,0.2511600696720786,-0.00752923980303563,0.9939925925660683,0.9939925925660683,-0.4941557353053529,0.4903736465183364,-0.4941557353053529,0.4903736465183364
interface_conddashboard,location,0.8608904572657406,0.1552073511733995,5.546711871294959,2.9109184073917384e-8,0.8608904572657406,0.1552073511733995,5.546711871294959,2.9109184073917384e-8,2.9109184073917384e-8,0.5566896388300172,1.1650912757014642,0.5566896388300172,1.1650912757014642
