y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
2,dashboard,mid,0.01942212018154662,0.00865668850356088,Inf,0.0024553224891853617,0.036388917873907876,0.0024553224891853617,0.036388917873907876
3,dashboard,mid,0.045120581384642304,0.014663502873279286,Inf,0.01638064386581531,0.0738605189034693,0.01638064386581531,0.0738605189034693
4,dashboard,mid,0.07790564568856467,0.01947243783019572,Inf,0.039740368850185795,0.11607092252694355,0.039740368850185795,0.11607092252694355
5,dashboard,mid,0.11005306913876708,0.022178783077407612,Inf,0.06658345308612175,0.15352268519141243,0.06658345308612175,0.15352268519141243
6,dashboard,mid,0.09517838098382059,0.019597042699218782,Inf,0.056768883089858176,0.133587878877783,0.056768883089858176,0.133587878877783
7,dashboard,mid,0.09625053171369446,0.019324557521396824,Inf,0.05837509495458408,0.13412596847280484,0.05837509495458408,0.13412596847280484
8,dashboard,mid,0.08682146023937776,0.01835577232669698,Inf,0.05084480757063469,0.12279811290812082,0.05084480757063469,0.12279811290812082
9,dashboard,mid,0.13842457490602877,0.022986937911147694,Inf,0.09337100448532093,0.18347814532673662,0.09337100448532093,0.18347814532673662
10,dashboard,mid,0.060461854005071314,0.015401483648815781,Inf,0.030275500744909853,0.09064820726523277,0.030275500744909853,0.09064820726523277
11,dashboard,mid,0.08570701388694912,0.01883757848418615,Inf,0.048786038501997656,0.12262798927190059,0.048786038501997656,0.12262798927190059
12,dashboard,mid,0.0687228866605708,0.01731514535728721,Inf,0.034785825373211954,0.10265994794792965,0.034785825373211954,0.10265994794792965
13,dashboard,mid,0.06890969742222675,0.0193391280134854,Inf,0.031005703023385726,0.10681369182106776,0.031005703023385726,0.10681369182106776
14,dashboard,mid,0.02305201117852118,0.00929260640332497,Inf,0.004838837305497955,0.041265185051544404,0.004838837305497955,0.041265185051544404
15,dashboard,mid,0.016153085346467644,0.0075861603452950606,Inf,0.0012844842887433875,0.031021686404191902,0.0012844842887433875,0.031021686404191902
16,dashboard,mid,0.004057178862520994,0.002672298700194281,Inf,-0.0011804303457929955,0.009294788070834982,-0.0011804303457929955,0.009294788070834982
17,dashboard,mid,9.66572308755187e-4,8.820470260719787e-4,Inf,-7.622080950165531e-4,0.002695352712526927,-7.622080950165531e-4,0.002695352712526927
18,dashboard,mid,4.756826265893688e-4,5.216741539923713e-4,Inf,-5.467799269010809e-4,0.0014981451800798185,-5.467799269010809e-4,0.0014981451800798185
19,dashboard,mid,4.169938133424811e-5,7.990716322574983e-5,Inf,-1.1491578069498497e-4,1.983145433634812e-4,-1.1491578069498497e-4,1.983145433634812e-4
1,chatbot,hard,0.0021086203842995456,0.001501382517688378,Inf,-8.34035277387745e-4,0.005051276045986836,-8.34035277387745e-4,0.005051276045986836
2,chatbot,hard,0.018359710647237664,0.008457205051423838,Inf,0.00178389333657673,0.0349355279578986,0.00178389333657673,0.0349355279578986
3,chatbot,hard,0.04326035807550144,0.014805906128288143,Inf,0.014241315305575812,0.07227940084542706,0.014241315305575812,0.07227940084542706
4,chatbot,hard,0.07553664736652425,0.02000235385077624,Inf,0.03633275421297676,0.11474054052007174,0.03633275421297676,0.11474054052007174
5,chatbot,hard,0.10777746397279814,0.022870800027358487,Inf,0.06295151962155783,0.15260340832403846,0.06295151962155783,0.15260340832403846
6,chatbot,hard,0.09395778318879325,0.019775503973558466,Inf,0.05519850762448993,0.13271705875309656,0.05519850762448993,0.13271705875309656
7,chatbot,hard,0.09561875857043994,0.019303727349688122,Inf,0.0577841481976704,0.13345336894320947,0.0577841481976704,0.13345336894320947
8,chatbot,hard,0.08674096747212318,0.018341136667734785,Inf,0.05079300016783603,0.12268893477641032,0.05079300016783603,0.12268893477641032
9,chatbot,hard,0.13926291683511927,0.023219272673131126,Inf,0.0937539786485672,0.18477185502167132,0.0937539786485672,0.18477185502167132
10,chatbot,hard,0.06122723873274971,0.015725310057604993,Inf,0.03040619737411845,0.09204828009138097,0.03040619737411845,0.09204828009138097
11,chatbot,hard,0.08727270734462456,0.019590209430738092,Inf,0.04887660241078099,0.12566881227846813,0.04887660241078099,0.12566881227846813
12,chatbot,hard,0.07047590949554072,0.018212239476970003,Inf,0.03478057604286093,0.10617124294822052,0.03478057604286093,0.10617124294822052
13,chatbot,hard,0.07131469609577978,0.02026170691881135,Inf,0.031602480269603515,0.11102691192195605,0.031602480269603515,0.11102691192195605
14,chatbot,hard,0.02410060631980926,0.009577019153926792,Inf,0.00532999369886249,0.04287121894075603,0.00532999369886249,0.04287121894075603
15,chatbot,hard,0.01704748926107902,0.007867364914062883,Inf,0.0016277373762817147,0.03246724114587632,0.0016277373762817147,0.03246724114587632
16,chatbot,hard,0.004332454241328887,0.002822037815163886,Inf,-0.0011986382394024303,0.009863546722060204,-0.0011986382394024303,0.009863546722060204
17,chatbot,hard,0.0010419080918449009,9.394754886505745e-4,Inf,-7.994300302683931e-4,0.002883246213958195,-7.994300302683931e-4,0.002883246213958195
18,chatbot,hard,5.176394104661197e-4,5.583812674150459e-4,Inf,-5.767677633091988e-4,0.0016120465842414382,-5.767677633091988e-4,0.0016120465842414382
19,chatbot,hard,4.6124493940369327e-5,8.722222059182118e-5,Inf,-1.2482791707120802e-4,2.1707690495194668e-4,-1.2482791707120802e-4,2.1707690495194668e-4
1,dashboard,hard,3.781727881685286e-5,4.0764593139204126e-5,Inf,-4.207985558041579e-5,1.1771441321412151e-4,-4.207985558041579e-5,1.1771441321412151e-4
2,dashboard,hard,8.053071372207984e-4,5.966478891765727e-4,Inf,-3.6410123701712937e-4,0.0019747155114587262,-3.6410123701712937e-4,0.0019747155114587262
3,dashboard,hard,0.003545698297847552,0.002032048706569765,Inf,-4.3704398186038707e-4,0.007528440577555491,-4.3704398186038707e-4,0.007528440577555491
4,dashboard,hard,0.010239333492258416,0.004697165649349118,Inf,0.0010330579901154501,0.019445608994401384,0.0010330579901154501,0.019445608994401384
5,dashboard,hard,0.022892262458257893,0.008467313593460089,Inf,0.0062966327692696965,0.03948789214724609,0.0062966327692696965,0.03948789214724609
6,dashboard,hard,0.028497327350701186,0.009318045977721475,Inf,0.010234292828078785,0.04676036187332359,0.010234292828078785,0.04676036187332359
7,dashboard,hard,0.03855191740683726,0.011268543532075464,Inf,0.016465977925747586,0.060637856887926944,0.016465977925747586,0.060637856887926944
8,dashboard,hard,0.04511182690354279,0.012353249594573608,Inf,0.0208999026061445,0.06932375120094109,0.0208999026061445,0.06932375120094109
9,dashboard,hard,0.09959874221238765,0.020401024241982153,Inf,0.05961346945037409,0.1395840149744012,0.05961346945037409,0.1395840149744012
10,dashboard,hard,0.05852856387725153,0.015127565271736625,Inf,0.028879080770868874,0.08817804698363418,0.028879080770868874,0.08817804698363418
11,dashboard,hard,0.1073295463872011,0.021318242511233994,Inf,0.06554655885149177,0.14911253392291043,0.06554655885149177,0.14911253392291043
12,dashboard,hard,0.11937841547314793,0.023825128474115616,Inf,0.0726820217368416,0.16607480920945425,0.0726820217368416,0.16607480920945425
13,dashboard,hard,0.18364779020914046,0.03239743805030454,Inf,0.12014997843917603,0.2471456019791049,0.12014997843917603,0.2471456019791049
14,dashboard,hard,0.09758044151802325,0.026400155466798962,Inf,0.04583708761683908,0.14932379541920743,0.04583708761683908,0.14932379541920743
15,dashboard,hard,0.10636533133436932,0.030132935816112642,Inf,0.04730586238633149,0.16542480028240714,0.04730586238633149,0.16542480028240714
16,dashboard,hard,0.04575875520507944,0.0199031532081731,Inf,0.00674929173827734,0.08476821867188153,0.00674929173827734,0.08476821867188153
17,dashboard,hard,0.016752969344824287,0.011074981563145644,Inf,-0.00495359564838628,0.038459534338034854,-0.00495359564838628,0.038459534338034854
18,dashboard,hard,0.012929466407042622,0.009684873523802772,Inf,-0.006052536894436328,0.03191146970852157,-0.006052536894436328,0.03191146970852157
19,dashboard,hard,0.0024484877060496624,0.003380656066034136,Inf,-0.0041774764274941055,0.00907445183959343,-0.0041774764274941055,0.00907445183959343
