y_ord,interface_cond,dl_ord,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
14,dashboard,medium,0.037499517016975153,0.01217846547425573,Inf,0.013630163300469421,0.061368870733480886,0.013630163300469421,0.061368870733480886,NA,NA
15,dashboard,medium,0.03541239192383025,0.012604345520876649,Inf,0.010708328654213277,0.06011645519344722,0.010708328654213277,0.06011645519344722,NA,NA
16,dashboard,medium,0.013237389388692664,0.006794655208355664,Inf,-7.989010705193068e-5,0.026554668884437256,-7.989010705193068e-5,0.026554668884437256,NA,NA
17,dashboard,medium,0.004444140934631885,0.0032806549048495694,Inf,-0.0019858245245779477,0.010874106393841718,-0.0019858245245779477,0.010874106393841718,NA,NA
18,dashboard,medium,0.0031511466520718068,0.0026774572619580285,Inf,-0.0020965731515111526,0.008398866455654765,-0.0020965731515111526,0.008398866455654765,NA,NA
19,dashboard,medium,5.330509247428727e-4,7.931712032509481e-4,Inf,-0.0010215360672032844,0.00208763791668903,-0.0010215360672032844,0.00208763791668903,NA,NA
1,chatbot,high,0.0911029782733953,0.04280588310027097,Inf,0.00720498907043246,0.17500096747635813,0.00720498907043246,0.17500096747635813,NA,NA
2,chatbot,high,0.17751246884922203,0.04455947857765044,Inf,0.09017749566714311,0.26484744203130095,0.09017749566714311,0.26484744203130095,NA,NA
3,chatbot,high,0.159926370236649,0.02802366548158864,Inf,0.10500099517793696,0.21485174529536102,0.10500099517793696,0.21485174529536102,NA,NA
4,chatbot,high,0.14197713962124545,0.022604404721193284,Inf,0.09767332047573946,0.18628095876675144,0.09767332047573946,0.18628095876675144,NA,NA
5,chatbot,high,0.1201814671704414,0.021437070130220087,Inf,0.07816558178115067,0.1621973525597321,0.07816558178115067,0.1621973525597321,NA,NA
6,chatbot,high,0.07244891460701472,0.016811885505311198,Inf,0.03949822450439381,0.10539960470963564,0.03949822450439381,0.10539960470963564,NA,NA
7,chatbot,high,0.057192875214623996,0.014935995483456276,Inf,0.02791886199379679,0.0864668884354512,0.02791886199379679,0.0864668884354512,NA,NA
8,chatbot,high,0.04237669527562134,0.012613311044709545,Inf,0.017655059902189352,0.06709833064905332,0.017655059902189352,0.06709833064905332,NA,NA
9,chatbot,high,0.05458910841648007,0.01678492725380974,Inf,0.021691255515888193,0.08748696131707195,0.021691255515888193,0.08748696131707195,NA,NA
10,chatbot,high,0.0199119427824576,0.007953307229409992,Inf,0.004323747054831977,0.035500138510083226,0.004323747054831977,0.035500138510083226,NA,NA
11,chatbot,high,0.024666456916606974,0.01016019058585444,Inf,0.0047528492922693615,0.04458006454094458,0.0047528492922693615,0.04458006454094458,NA,NA
