term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
50|55,threshold,2.554245974459483,0.29991539760643454,8.516554984653723,1.6436963196028885e-17,2.554245974459483,0.29991539760643454,8.516554984653723,1.6436963196028885e-17,1.6436963196028885e-17,1.9664225967418614,3.142069352177105,1.9664225967418614,3.142069352177105
55|60,threshold,2.854957668544765,0.30402332970027124,9.390587463664035,5.966652690075205e-21,2.854957668544765,0.30402332970027124,9.390587463664035,5.966652690075205e-21,5.966652690075205e-21,2.259082891872287,3.450832445217243,2.259082891872287,3.450832445217243
60|65,threshold,3.3447783582636372,0.3137173517067601,10.66175759825389,1.5366560353394894e-26,3.3447783582636372,0.3137173517067601,10.66175759825389,1.5366560353394894e-26,1.5366560353394894e-26,2.7299036475931024,3.959653068934172,2.7299036475931024,3.959653068934172
65|70,threshold,3.6660854256812927,0.3225605135070611,11.365574123817977,6.2055119331138954e-30,3.6660854256812927,0.3225605135070611,11.365574123817977,6.2055119331138954e-30,6.2055119331138954e-30,3.0338784363727074,4.298292414989878,3.0338784363727074,4.298292414989878
70|75,threshold,4.184723110098517,0.34423116506960894,12.156723547248548,5.283559330886423e-34,4.184723110098517,0.34423116506960894,12.156723547248548,5.283559330886423e-34,5.283559330886423e-34,3.510042424205821,4.859403795991213,3.510042424205821,4.859403795991213
75|80,threshold,4.614468216896753,0.37232480556825837,12.393663134676052,2.8282299644718566e-35,4.614468216896753,0.37232480556825837,12.393663134676052,2.8282299644718566e-35,2.8282299644718566e-35,3.8847250074320883,5.344211426361417,3.8847250074320883,5.344211426361417
80|85,threshold,4.925102504290668,0.4037805673389217,12.19747284211595,3.206208593314916e-34,4.925102504290668,0.4037805673389217,12.19747284211595,3.206208593314916e-34,3.206208593314916e-34,4.133707134649232,5.716497873932104,4.133707134649232,5.716497873932104
85|90,threshold,5.576563546410499,0.5309362490429426,10.503263916266267,8.344400254769564e-26,5.576563546410499,0.5309362490429426,10.503263916266267,8.344400254769564e-26,8.344400254769564e-26,4.5359476201995435,6.617179472621455,4.5359476201995435,6.617179472621455
industry_roleMiddle Management,location,0.20518289757660316,0.26975440102037995,0.7606285450783121,0.4468789650634036,0.20518289757660316,0.26975440102037995,0.7606285450783121,0.4468789650634036,0.4468789650634036,-0.32352601309451623,0.7338918082477225,-0.32352601309451623,0.7338918082477225
industry_roleUpper Management,location,-0.002051500948333183,0.32041215517407196,-0.006402693890369589,0.9948914243012595,-0.002051500948333183,0.32041215517407196,-0.006402693890369589,0.9948914243012595,0.9948914243012595,-0.6300477852983732,0.6259447834017069,-0.6300477852983732,0.6259447834017069
interface_conddashboard,location,1.1056007199310038,0.1983591909523427,5.573730738782015,2.493410242775492e-8,1.1056007199310038,0.1983591909523427,5.573730738782015,2.493410242775492e-8,2.493410242775492e-8,0.7168238496619088,1.4943775902000989,0.7168238496619088,1.4943775902000989
