term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
60|65,NA,NA,threshold,3.047265554895494,0.3213643646686633,9.482275852325195,2.4879654196406102e-21,3.047265554895494,0.3213643646686633,9.482275852325195,2.4879654196406102e-21,2.4879654196406102e-21,2.417402974230318,3.67712813556067,2.417402974230318,3.67712813556067
65|70,NA,NA,threshold,3.36904132422057,0.32920479940681857,10.233876694055239,1.3980816142308982e-24,3.36904132422057,0.32920479940681857,10.233876694055239,1.3980816142308982e-24,1.3980816142308982e-24,2.723811773845473,4.014270874595668,2.723811773845473,4.014270874595668
70|75,NA,NA,threshold,3.8887788420828953,0.348897185561383,11.145916341588618,7.496858160623418e-29,3.8887788420828953,0.348897185561383,11.145916341588618,7.496858160623418e-29,7.496858160623418e-29,3.2049529240751964,4.572604760090594,3.2049529240751964,4.572604760090594
75|80,NA,NA,threshold,4.318650061277651,0.37542783148156955,11.503276260139659,1.270013821401132e-30,4.318650061277651,0.37542783148156955,11.503276260139659,1.270013821401132e-30,1.270013821401132e-30,3.5828250327798026,5.0544750897755,3.5828250327798026,5.0544750897755
80|85,NA,NA,threshold,4.628044389560128,0.4053330404360448,11.417880922269305,3.4043351092741574e-30,4.628044389560128,0.4053330404360448,11.417880922269305,3.4043351092741574e-30,3.4043351092741574e-30,3.8336062285613632,5.422482550558893,3.8336062285613632,5.422482550558893
85|90,NA,NA,threshold,5.284333746164282,0.532729791227384,9.919350922705917,3.429792653750701e-23,5.284333746164282,0.532729791227384,9.919350922705917,3.429792653750701e-23,3.429792653750701e-23,4.240202541867067,6.3284649504614965,4.240202541867067,6.3284649504614965
interface_conddashboard,beta1,dashboard vs chatbot at low DL,location,1.1025688437809262,0.19712502805473373,5.593246350609457,2.2286272010876988e-8,1.1025688437809262,0.19712502805473373,5.593246350609457,2.2286272010876988e-8,2.2286272010876988e-8,0.7162108883422005,1.488926799219652,0.7162108883422005,1.488926799219652
dl_ordmedium,beta2,medium vs low DL within chatbot,location,-0.10236336195442265,0.28840187911341075,-0.354933061702311,0.7226397392657227,-0.10236336195442265,0.28840187911341075,-0.354933061702311,0.7226397392657227,0.7226397392657227,-0.6676206580903821,0.4628939341815368,-0.6676206580903821,0.4628939341815368
dl_ordhigh,beta3,high vs low DL within chatbot,location,-0.3845631588916436,0.3192335908548837,-1.2046450308121155,0.22834036494009002,-0.3845631588916436,0.3192335908548837,-1.2046450308121155,0.22834036494009002,0.22834036494009002,-1.0102494996226108,0.24112318183932346,-1.0102494996226108,0.24112318183932346
task_complexitymid,beta6,task complexity mid vs easy,location,0.41490693545067425,0.12722917132346848,3.261099094922276,0.0011098124747571678,0.41490693545067425,0.12722917132346848,3.261099094922276,0.0011098124747571678,0.0011098124747571678,0.16554234187379985,0.6642715290275487,0.16554234187379985,0.6642715290275487
