term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
55|60,NA,NA,threshold,2.9136142033960017,0.380020956646515,7.666982971431666,1.7608914589431015e-14,2.9136142033960017,0.380020956646515,7.666982971431666,1.7608914589431015e-14,1.7608914589431015e-14,2.1687868149983753,3.658441591793628,2.1687868149983753,3.658441591793628
60|65,NA,NA,threshold,3.406675397076244,0.3892036216150163,8.752938585052485,2.078678235689914e-18,3.406675397076244,0.3892036216150163,8.752938585052485,2.078678235689914e-18,2.078678235689914e-18,2.643850316058257,4.16950047809423,2.643850316058257,4.16950047809423
65|70,NA,NA,threshold,3.7307617776374986,0.39714385203287694,9.3939809430278,5.7774361781266506e-21,3.7307617776374986,0.39714385203287694,9.3939809430278,5.7774361781266506e-21,5.7774361781266506e-21,2.9523741309715557,4.509149424303441,2.9523741309715557,4.509149424303441
70|75,NA,NA,threshold,4.256310481438849,0.4163782139676794,10.222221861418612,1.5768448336471717e-24,4.256310481438849,0.4163782139676794,10.222221861418612,1.5768448336471717e-24,1.5768448336471717e-24,3.440224178115085,5.072396784762613,3.440224178115085,5.072396784762613
75|80,NA,NA,threshold,4.690620926134288,0.4411135882669892,10.633589739464645,2.0795084275956665e-26,4.690620926134288,0.4411135882669892,10.633589739464645,2.0795084275956665e-26,2.0795084275956665e-26,3.8260541800397596,5.555187672228817,3.8260541800397596,5.555187672228817
80|85,NA,NA,threshold,5.001769059741833,0.46789511400736367,10.689936505007223,1.1344861949641263e-26,5.001769059741833,0.46789511400736367,10.689936505007223,1.1344861949641263e-26,1.1344861949641263e-26,4.084711487745138,5.918826631738528,4.084711487745138,5.918826631738528
85|90,NA,NA,threshold,5.6575152730864655,0.5815620319849365,9.728137261259526,2.2874320963923876e-22,5.6575152730864655,0.5815620319849365,9.728137261259526,2.2874320963923876e-22,2.2874320963923876e-22,4.517674635620059,6.797355910552872,4.517674635620059,6.797355910552872
interface_conddashboard,beta1,dashboard vs chatbot at low DL,location,1.9077241652461607,0.5215581842327035,3.6577398704858437,2.544490927501889e-4,1.9077241652461607,0.5215581842327035,3.6577398704858437,2.544490927501889e-4,2.544490927501889e-4,0.8854889083079558,2.929959422184366,0.8854889083079558,2.929959422184366
dl_ordmedium,beta2,medium vs low DL within chatbot,location,0.41193355831593204,0.3889504604493874,1.0590900389730618,0.2895587759881074,0.41193355831593204,0.3889504604493874,1.0590900389730618,0.2895587759881074,0.2895587759881074,-0.35039533593513783,1.1742624525670018,-0.35039533593513783,1.1742624525670018
dl_ordhigh,beta3,high vs low DL within chatbot,location,-0.1454632443631119,0.4350431962704298,-0.33436505986106635,0.7381041018150994,-0.1454632443631119,0.4350431962704298,-0.33436505986106635,0.7381041018150994,0.7381041018150994,-0.9981322407723441,0.7072057520461204,-0.9981322407723441,0.7072057520461204
task_complexitymid,beta6,task complexity mid vs easy,location,0.4136310939924754,0.12722702919840204,3.2511259328978386,0.001149489291531386,0.4136310939924754,0.12722702919840204,3.2511259328978386,0.001149489291531386,0.001149489291531386,0.1642706989035816,0.6629914890813692,0.1642706989035816,0.6629914890813692
task_complexityhard,beta7,task complexity hard vs easy,location,1.5340350785749663,0.14224541270097096,10.784425658772017,4.077825982419973e-27,1.5340350785749663,0.14224541270097096,10.784425658772017,4.077825982419973e-27,4.077825982419973e-27,1.255239192715027,1.8128309644349057,1.255239192715027,1.8128309644349057
interface_conddashboard:dl_ordmedium,beta4,change in dashboard-chatbot gap at medium DL vs low DL,location,-1.0903310800736508,0.5718030726128228,-1.9068296976639922,0.05654264431205717,-1.0903310800736508,0.5718030726128228,-1.9068296976639922,0.05654264431205717,0.05654264431205717,-2.2110445086441244,0.030382348496823086,-2.2110445086441244,0.030382348496823086
interface_conddashboard:dl_ordhigh,beta5,change in dashboard-chatbot gap at high DL vs low DL,location,-0.5762201695430401,0.6307101911724702,-0.9136052938543219,0.3609242837130591,-0.5762201695430401,0.6307101911724702,-0.9136052938543219,0.3609242837130591,0.3609242837130591,-1.8123894289234537,0.6599490898373735,-1.8123894289234537,0.6599490898373735
